AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:15:42
Title: --Transient Thermal
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Deposition-Temp
   12526	 0.209999993E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12527	 0.209999993E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12546	 0.239999995E-02	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12540	 0.239999995E-02	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12548	 0.239999995E-02	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12542	 0.239999995E-02	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12488	 0.239999995E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12490	 0.239999995E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12482	 0.239999995E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12484	 0.239999995E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12478	 0.239999995E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12479	 0.239999995E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12475	 0.239999995E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12476	 0.239999995E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12489	 0.269999998E-02	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12483	 0.269999998E-02	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12491	 0.269999998E-02	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12485	 0.269999998E-02	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12443	 0.269999998E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12445	 0.269999998E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12437	 0.269999998E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12439	 0.269999998E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12444	 0.300000000E-02	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12438	 0.300000000E-02	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12446	 0.300000000E-02	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12440	 0.300000000E-02	-0.600000286E-03	 0.999999225E-04	  701.069505    
