AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:16:36
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Recoater-Interference
   12694	 0.119999986E-02	-0.600000286E-03	 0.399999928E-03	-0.730685858E-06
   12695	 0.119999986E-02	-0.600000286E-03	 0.999999225E-04	 0.103745238E-05
   12717	 0.149999988E-02	-0.270000045E-02	 0.399999928E-03	-0.730685874E-06
   12655	 0.149999988E-02	-0.240000043E-02	 0.399999928E-03	-0.730685871E-06
   12719	 0.149999988E-02	-0.270000045E-02	 0.999999225E-04	 0.103745236E-05
   12656	 0.149999988E-02	-0.240000043E-02	 0.999999225E-04	 0.103745237E-05
   12652	 0.149999988E-02	-0.210000040E-02	 0.399999928E-03	-0.730685867E-06
   12653	 0.149999988E-02	-0.210000040E-02	 0.999999225E-04	 0.103745237E-05
   12649	 0.149999988E-02	-0.180000038E-02	 0.399999928E-03	-0.730685863E-06
   12650	 0.149999988E-02	-0.180000038E-02	 0.999999225E-04	 0.103745237E-05
   12646	 0.149999988E-02	-0.150000036E-02	 0.399999928E-03	-0.730685859E-06
   12647	 0.149999988E-02	-0.150000036E-02	 0.999999225E-04	 0.103745238E-05
   12643	 0.149999988E-02	-0.120000033E-02	 0.399999928E-03	-0.730685855E-06
   12644	 0.149999988E-02	-0.120000033E-02	 0.999999225E-04	 0.103745238E-05
   12640	 0.149999988E-02	-0.900000310E-03	 0.399999928E-03	-0.730685850E-06
   12641	 0.149999988E-02	-0.900000310E-03	 0.999999225E-04	 0.103745239E-05
   12637	 0.149999988E-02	-0.600000286E-03	 0.399999928E-03	-0.730685844E-06
   12638	 0.149999988E-02	-0.600000286E-03	 0.999999225E-04	 0.103745239E-05
   12602	 0.179999990E-02	-0.240000043E-02	 0.399999928E-03	-0.730685857E-06
   12598	 0.179999990E-02	-0.210000040E-02	 0.399999928E-03	-0.730685854E-06
   12604	 0.179999990E-02	-0.240000043E-02	 0.999999225E-04	 0.103745238E-05
   12599	 0.179999990E-02	-0.210000040E-02	 0.999999225E-04	 0.103745238E-05
   12595	 0.179999990E-02	-0.180000038E-02	 0.399999928E-03	-0.730685850E-06
   12596	 0.179999990E-02	-0.180000038E-02	 0.999999225E-04	 0.103745239E-05
   12592	 0.179999990E-02	-0.150000036E-02	 0.399999928E-03	-0.730685846E-06
   12593	 0.179999990E-02	-0.150000036E-02	 0.999999225E-04	 0.103745239E-05
   12589	 0.179999990E-02	-0.120000033E-02	 0.399999928E-03	-0.730685841E-06
   12590	 0.179999990E-02	-0.120000033E-02	 0.999999225E-04	 0.103745239E-05
   12586	 0.179999990E-02	-0.900000310E-03	 0.399999928E-03	-0.730685836E-06
   12587	 0.179999990E-02	-0.900000310E-03	 0.999999225E-04	 0.103745240E-05
   12583	 0.179999990E-02	-0.600000286E-03	 0.399999928E-03	-0.730685830E-06
   12584	 0.179999990E-02	-0.600000286E-03	 0.999999225E-04	 0.103745241E-05
   12603	 0.209999993E-02	-0.240000043E-02	 0.399999928E-03	-0.730685844E-06
   12545	 0.209999993E-02	-0.210000040E-02	 0.399999928E-03	-0.730685840E-06
   12605	 0.209999993E-02	-0.240000043E-02	 0.999999225E-04	 0.103745239E-05
   12547	 0.209999993E-02	-0.210000040E-02	 0.999999225E-04	 0.103745240E-05
   12539	 0.209999993E-02	-0.180000038E-02	 0.399999928E-03	-0.730685836E-06
   12541	 0.209999993E-02	-0.180000038E-02	 0.999999225E-04	 0.103745240E-05
   12535	 0.209999993E-02	-0.150000036E-02	 0.399999928E-03	-0.730685832E-06
   12536	 0.209999993E-02	-0.150000036E-02	 0.999999225E-04	 0.103745240E-05
   12532	 0.209999993E-02	-0.120000033E-02	 0.399999928E-03	-0.730685827E-06
   12533	 0.209999993E-02	-0.120000033E-02	 0.999999225E-04	 0.103745241E-05
   12529	 0.209999993E-02	-0.900000310E-03	 0.399999928E-03	-0.730685822E-06
   12530	 0.209999993E-02	-0.900000310E-03	 0.999999225E-04	 0.103745241E-05
   12526	 0.209999993E-02	-0.600000286E-03	 0.399999928E-03	-0.730685816E-06
   12527	 0.209999993E-02	-0.600000286E-03	 0.999999225E-04	 0.103745242E-05
   12546	 0.239999995E-02	-0.210000040E-02	 0.399999928E-03	-0.730685826E-06
   12540	 0.239999995E-02	-0.180000038E-02	 0.399999928E-03	-0.730685822E-06
   12548	 0.239999995E-02	-0.210000040E-02	 0.999999225E-04	 0.103745241E-05
   12542	 0.239999995E-02	-0.180000038E-02	 0.999999225E-04	 0.103745241E-05
   12488	 0.239999995E-02	-0.150000036E-02	 0.399999928E-03	-0.730685817E-06
   12490	 0.239999995E-02	-0.150000036E-02	 0.999999225E-04	 0.103745242E-05
   12482	 0.239999995E-02	-0.120000033E-02	 0.399999928E-03	-0.730685812E-06
   12484	 0.239999995E-02	-0.120000033E-02	 0.999999225E-04	 0.103745242E-05
   12478	 0.239999995E-02	-0.900000310E-03	 0.399999928E-03	-0.730685807E-06
