AM High Strain File
ANSYS 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:20:42
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	High Strain Value
    1073	-0.120000033E-02	-0.300000048E-02	 0.249999997E-02	 0.486709964E-04
    1075	-0.150000036E-02	-0.300000048E-02	 0.279999998E-02	 0.392448364E-04
    1077	-0.120000033E-02	-0.270000045E-02	 0.279999998E-02	 0.186320497E-04
    1076	-0.120000033E-02	-0.300000048E-02	 0.279999998E-02	 0.342298550E-04
    1078	-0.150000036E-02	-0.300000048E-02	 0.309999998E-02	 0.292213470E-04
    1080	-0.120000033E-02	-0.270000045E-02	 0.309999998E-02	 0.136588489E-04
    1079	-0.120000033E-02	-0.300000048E-02	 0.309999998E-02	 0.254795052E-04
    1081	-0.150000036E-02	-0.300000048E-02	 0.339999999E-02	 0.226810407E-04
    1083	-0.120000033E-02	-0.270000045E-02	 0.339999999E-02	 0.104798361E-04
    1082	-0.120000033E-02	-0.300000048E-02	 0.339999999E-02	 0.197836852E-04
    1084	-0.150000036E-02	-0.300000048E-02	 0.369999999E-02	 0.181724597E-04
    1086	-0.120000033E-02	-0.270000045E-02	 0.369999999E-02	 0.832608374E-05
    1085	-0.120000033E-02	-0.300000048E-02	 0.369999999E-02	 0.158511348E-04
    1087	-0.150000036E-02	-0.300000048E-02	 0.400000000E-02	 0.149137772E-04
    1089	-0.120000033E-02	-0.270000045E-02	 0.400000000E-02	 0.679348262E-05
    1088	-0.120000033E-02	-0.300000048E-02	 0.400000000E-02	 0.130101845E-04
   13216	-0.120000033E-02	-0.270000045E-02	 0.399999928E-03	 0.649746695E-02
   13273	-0.150000036E-02	-0.270000045E-02	 0.399999928E-03	 0.799525346E-02
   13213	-0.120000033E-02	-0.240000043E-02	 0.399999928E-03	 0.320092739E-02
   13217	-0.120000033E-02	-0.270000045E-02	 0.999999225E-04	 0.173754788E-02
   13274	-0.150000036E-02	-0.270000045E-02	 0.999999225E-04	 0.243817330E-02
   13214	-0.120000033E-02	-0.240000043E-02	 0.999999225E-04	 0.156133579E-02
   13215	-0.120000033E-02	-0.270000045E-02	 0.699999934E-03	 0.809012760E-02
   13272	-0.150000036E-02	-0.270000045E-02	 0.699999934E-03	 0.987787787E-02
   13212	-0.120000033E-02	-0.240000043E-02	 0.699999934E-03	 0.396602266E-02
    1090	-0.120000033E-02	-0.240000043E-02	 0.999999940E-03	 0.776005359E-03
